sample,session,frame_stim,speed,pre_x,pre_y,stim_x,stim_y,distance,stim_phase,sw_induced,sw_collision,sw_sustained,fb_angle,stim_angle
20160907-3,6,295,1575,106.5,84.5,86,68,16.70818713,2.85,TRUE,TRUE,FALSE,1.555172598,0.877464305
20160907-3,10,354,1575,59,68,86,68,17.14285714,0.99,TRUE,TRUE,TRUE,1.555172598,1.555172598
20160907-3,11,405,1575,102,75.5,86,68,11.2194267,2.51,TRUE,TRUE,FALSE,1.555172598,1.116836038
20160907-3,17,355,1575,87,73,86,68,3.237472707,1.16,TRUE,TRUE,FALSE,1.555172598,0.084044924
20160907-3,22,325,1575,80.33,62.67,86,68,4.940882051,1.47,TRUE,TRUE,TRUE,1.555172598,1.497037123
20161019-1,19,380,1214,89.5,80.5,83,75,7.013750563,-2.17,FALSE,FALSE,FALSE,0.960070362,0.25781343
20161019-2,6,320,1500,52.5,26,62,54,19.71181259,-1.04,FALSE,FALSE,FALSE,1.570796327,0.327098097
20161019-2,7,160,1252,41.6,86.2,52,66,18.14699298,-2.58,TRUE,TRUE,TRUE,1.570796327,0.475458083
20161019-2,8,140,1252,37.67,86.33,52,66,19.86647969,1.73,TRUE,TRUE,TRUE,1.570796327,0.613986715
20161019-2,9,190,1252,41.5,68,52,66,8.537363549,-0.98,FALSE,FALSE,FALSE,1.570796327,1.382574821
20161019-2,10,150,1252,41.33,88.33,52,66,19.76700386,2.41,TRUE,TRUE,TRUE,1.570796327,0.445756874
20161019-2,11,250,1252,49.33,79.67,52,66,11.12484768,1.3,FALSE,FALSE,FALSE,1.570796327,0.192889817
20161019-2,12,130,1252,35.5,90.5,52,66,23.5927404,1.13,FALSE,FALSE,FALSE,1.570796327,0.592697405
20161019-2,13,140,1252,37,87.5,52,66,20.93886059,1.6,TRUE,TRUE,TRUE,1.570796327,0.609163465
20161019-2,14,150,1252,40.25,90,52,66,21.34340887,2.46,TRUE,TRUE,TRUE,1.570796327,0.455279603
20161019-2,15,160,1252,56.5,90.5,67,65,22.02648919,-2.93,TRUE,TRUE,TRUE,1.570796327,0.390607043
20161019-2,16,170,1252,57.6,91.2,67,65,22.2326114,-2.51,TRUE,TRUE,TRUE,1.570796327,0.344473915
20161019-2,17,180,1252,57,89,67,65,20.76677316,-2.15,FALSE,FALSE,FALSE,1.570796327,0.394791119
20161019-2,18,190,1252,55.75,90,67,65,21.89667752,-1.91,FALSE,FALSE,FALSE,1.570796327,0.422853926
20161019-2,19,200,1252,57.25,84,67,65,17.05720437,-1.29,FALSE,FALSE,FALSE,1.570796327,0.47411843
20161019-2,20,210,1252,56.67,75.33,67,65,11.66839145,-0.5,FALSE,FALSE,FALSE,1.570796327,0.785398163
20161019-2,21,230,1252,60.5,81.5,67,65,14.16465483,0.01,FALSE,FALSE,FALSE,1.570796327,0.375270823
20161019-2,22,250,1252,63.5,86.5,67,65,17.398579,0.42,FALSE,FALSE,FALSE,1.570796327,0.16137511
20161019-2,23,270,1252,69.33,91.67,67,65,21.38305566,1.13,FALSE,FALSE,FALSE,1.570796327,0.087142824
20161019-2,24,290,1252,68.5,93.5,67,65,22.79508497,1.55,FALSE,FALSE,FALSE,1.570796327,0.052583062
20161019-3,24,260,882,57.33,59.67,60,75,17.64260501,-1.73,FALSE,FALSE,FALSE,1.015040606,0.383317157
20161019-3,25,250,882,64.33,60.33,60,75,17.34203983,-2.27,FALSE,FALSE,FALSE,1.015040606,0.84276643
20161021-1,9,170,1633,46.5,74,81,68,21.44387789,-2.6,TRUE,TRUE,TRUE,1.237212005,1.40940282
20161021-1,10,160,1633,78,38.5,75,51,7.871990283,2.24,TRUE,FALSE,FALSE,1.237212005,0.569129303
20161021-1,11,160,1633,40.5,74.5,77,59,24.28338035,1.55,TRUE,FALSE,FALSE,1.237212005,1.502800108
20161021-1,12,175,1633,54.33,80.67,77,59,19.20458503,2.97,TRUE,FALSE,FALSE,1.237212005,1.141531662
20161021-1,13,165,1633,99.5,67.5,77,65,13.86311258,1.76,TRUE,TRUE,FALSE,1.237212005,1.126554784
20161021-1,14,180,1633,55.2,81.8,77,65,16.85386072,0.22,TRUE,TRUE,TRUE,1.237212005,1.247798891
20161021-1,16,185,1633,56,83.5,77,65,17.13815305,-2.96,TRUE,FALSE,FALSE,1.237212005,1.182189317
20161021-2,10,180,2529,41.5,71.5,66,50,12.88889364,-2.4,TRUE,TRUE,TRUE,1.341268973,1.080050681
20161021-2,11,190,2529,47,64.25,66,50,9.391063662,-2.3,FALSE,FALSE,FALSE,1.341268973,1.156822572
20161021-2,12,205,2529,48.5,61.5,66,50,8.280107391,-1.58,FALSE,FALSE,FALSE,1.341268973,1.218943497
